,RandomForest,XGBoost,LightGBM,ExtraTrees,GradientBoosting
Accuracy Mean,0.933333,0.978472,0.980556,0.981250,0.978472
Accuracy CI Lower,0.902635,0.970760,0.968515,0.968461,0.970760
Accuracy CI Upper,0.964032,0.986185,0.992596,0.994039,0.986185
Precision Mean,0.940326,0.979094,0.981063,0.981869,0.979100
Precision CI Lower,0.914914,0.972378,0.969706,0.969934,0.971899
Precision CI Upper,0.965738,0.985811,0.992419,0.993803,0.986301
Recall Mean,0.933333,0.978472,0.980556,0.981250,0.978472
Recall CI Lower,0.902635,0.970760,0.968515,0.968461,0.970760
Recall CI Upper,0.964032,0.986185,0.992596,0.994039,0.986185
F1 Mean,0.934070,0.978453,0.980545,0.981216,0.978443
F1 CI Lower,0.903758,0.970725,0.968486,0.968365,0.970690
F1 CI Upper,0.964382,0.986180,0.992604,0.994067,0.986196
